bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,plot_ID
101,119,34,8009,271,-72,343,194,-6,201,-6,1140,109,75,13,317,231,310,231,51_79_19
107,119,36,7539,266,-59,325,184,115,201,6,1244,128,81,12,355,270,342,293,51_169_31
125,134,39,7461,292,-45,337,201,79,219,26,1147,120,68,15,327,235,322,269,47_29_52
127,134,39,7502,294,-44,338,203,81,221,27,1140,121,67,15,327,233,321,267,47_29_32
124,133,39,7468,291,-46,337,200,131,218,25,1150,122,68,15,329,236,323,272,47_29_41
129,134,39,7526,296,-42,338,205,135,223,29,1163,123,67,15,335,236,326,277,47_29_65
137,137,40,7587,306,-36,342,52,194,232,36,1468,159,89,14,427,304,350,403,47_139_58
123,134,40,7345,285,-49,334,39,177,214,24,1499,156,89,13,423,311,380,400,47_9_13
103,126,39,7142,261,-61,322,175,24,192,8,1343,132,96,11,375,295,371,297,47_19_58
120,134,40,7330,283,-49,332,37,175,212,23,1595,169,97,13,459,335,391,432,47_123_52
96,119,37,7188,251,-67,318,169,17,185,-1,1335,133,95,11,379,292,372,294,47_19_66
104,125,38,7236,263,-61,324,177,24,194,7,1289,129,93,11,365,284,358,287,47_19_42
126,136,40,7390,290,-45,335,42,180,218,27,1548,165,93,14,447,323,381,420,47_123_119
112,129,39,7241,271,-56,327,29,165,202,15,1678,177,105,12,479,357,408,451,47_123_65
133,134,39,7547,301,-37,338,48,189,228,33,1513,163,93,14,439,316,358,414,47_139_59
142,136,39,7600,312,-30,342,57,198,238,41,1445,157,90,14,421,302,339,397,47_139_61
134,138,40,7475,303,-35,338,50,189,228,35,1519,163,92,14,444,318,365,416,47_139_64
112,131,39,7253,272,-56,328,185,69,202,15,1252,126,87,11,354,272,347,285,47_171_41
134,136,40,7440,299,-38,337,50,190,227,35,1464,156,86,15,422,299,366,398,47_123_63
115,132,40,7247,275,-54,329,32,169,205,18,1648,174,102,13,472,349,403,444,47_123_64
95,118,37,7161,247,-67,314,13,148,184,-1,1834,189,120,10,508,399,450,479,47_123_123
112,131,39,7243,271,-57,328,30,166,202,15,1648,173,102,12,468,348,406,441,47_123_109
132,135,40,7407,295,-40,335,47,186,224,33,1478,156,87,14,423,303,373,399,47_123_1
142,134,39,7557,308,-31,339,56,198,236,41,1397,149,82,15,401,282,352,379,47_123_80
140,135,40,7478,305,-31,336,55,196,233,40,1418,151,83,15,407,288,358,384,47_123_67
129,135,40,7417,293,-42,335,45,184,222,30,1499,159,89,14,431,309,375,406,47_123_81
120,134,40,7334,283,-50,333,37,174,211,22,1575,166,95,13,451,328,390,426,47_123_68
110,129,39,7240,268,-57,325,28,164,200,13,1688,177,105,12,480,358,413,453,47_123_111
109,129,39,7180,267,-58,325,27,162,198,13,1707,179,107,12,485,364,417,457,47_123_96
119,134,40,7324,281,-51,332,36,173,210,21,1594,168,97,13,456,334,393,430,47_123_82
135,136,40,7490,301,-38,339,50,190,228,35,1470,157,87,14,424,302,364,400,47_123_112
132,137,40,7422,298,-39,337,48,188,225,33,1490,159,88,14,431,307,369,406,47_123_125
139,137,40,7529,306,-35,341,53,195,232,38,1441,155,86,15,417,295,353,394,47_123_72
128,137,40,7403,294,-43,337,44,183,220,29,1544,165,93,14,448,323,377,420,47_123_74
130,136,40,7490,297,-41,338,45,185,223,30,1523,163,92,14,441,318,369,415,47_123_129
138,138,40,7587,307,-35,342,53,194,233,37,1459,158,88,15,424,302,352,400,47_123_115
136,137,40,7547,304,-36,340,51,192,230,35,1481,160,89,14,430,307,357,405,47_123_106
114,130,39,7316,275,-54,329,188,70,205,16,1239,125,88,11,351,271,344,281,47_19_28
124,134,39,7484,290,-46,336,199,78,218,24,1124,121,68,15,323,231,319,261,47_59_83
110,130,39,7241,272,-56,328,184,67,201,14,1231,123,79,13,343,261,340,288,47_59_54
128,134,39,7529,296,-43,339,204,82,223,28,1111,121,67,15,321,226,316,256,47_59_84
142,134,39,7567,308,-31,339,56,198,236,41,1399,150,82,15,403,283,349,381,47_123_54
96,119,37,7150,248,-66,314,14,149,185,0,1834,189,120,10,510,399,449,481,47_123_55
139,138,40,7636,308,-35,343,53,196,235,38,1450,157,88,15,422,300,346,399,47_123_59
130,136,40,7471,297,-41,338,46,185,223,31,1517,162,91,14,439,315,371,413,47_123_60
102,123,38,7172,257,-63,320,20,154,191,6,1778,185,114,11,500,383,433,471,47_123_62
128,135,40,7411,292,-44,336,43,182,220,29,1516,161,90,14,435,313,378,410,47_123_134
133,137,40,7473,300,-39,339,48,188,226,33,1491,160,89,14,432,308,366,407,47_123_79
130,134,39,7557,297,-42,339,44,185,224,29,1527,164,93,14,441,318,366,416,47_123_92
