bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,plot_ID
109,130,40,7213,267,-58,325,27,163,199,13,1666,174,104,12,471,354,410,445,37_75_26
110,130,40,7190,268,-57,325,29,164,200,14,1696,178,106,12,483,361,414,455,37_39_12
84,110,36,6872,228,-71,299,81,90,169,-8,1978,193,150,7,523,471,508,476,37_87_49
84,111,37,6881,229,-71,300,82,91,170,-8,1956,192,145,7,519,461,501,475,37_99_55
136,137,40,7513,307,-35,342,213,52,231,37,1265,121,92,9,345,277,341,286,37_23_52
106,127,40,6899,260,-56,316,104,112,193,14,1726,173,127,8,461,402,442,421,37_87_70
134,136,40,7338,300,-36,336,131,51,226,37,1289,127,94,9,349,287,345,294,37_111_30
105,128,40,6970,260,-59,319,102,28,193,12,1443,142,103,9,390,323,383,323,37_199_26
79,111,36,6997,226,-78,304,77,87,166,-14,1847,182,132,8,495,428,476,448,37_87_65
111,128,40,6958,265,-52,317,109,117,198,18,1670,166,128,8,443,396,434,397,37_175_10
125,133,39,7360,291,-44,335,200,42,217,27,1330,128,95,9,362,291,357,295,37_27_7
102,127,40,6953,255,-61,316,22,153,188,9,1835,188,123,10,508,408,451,481,37_113_10
125,136,40,7246,289,-45,334,123,44,216,29,1319,130,96,9,359,294,350,298,37_111_39
124,140,41,7192,286,-49,335,42,131,213,27,1552,163,93,13,446,322,386,422,37_75_46
112,136,41,7039,270,-57,327,32,164,199,17,1662,174,106,11,470,360,407,444,37_75_48
105,128,40,6937,259,-58,317,26,156,191,12,1878,193,128,10,521,420,457,494,37_113_63
125,140,41,7227,286,-48,334,43,132,214,28,1515,159,90,13,433,312,381,409,37_75_37
130,142,42,7180,293,-44,337,48,137,219,33,1462,153,86,14,417,299,371,393,37_75_32
101,123,39,6854,251,-59,310,22,151,186,9,1951,199,135,9,538,439,476,510,37_113_41
101,125,39,6933,253,-61,314,22,153,187,8,1894,194,128,10,525,421,462,498,37_113_61
118,138,42,6968,276,-50,326,39,171,205,25,1734,183,113,12,498,379,413,472,37_43_1
89,118,37,7085,241,-71,312,8,141,178,-5,1809,183,121,9,490,403,454,461,37_173_82
96,123,39,7023,249,-65,314,93,103,184,2,1523,152,106,9,412,344,403,364,37_115_32
108,132,40,7134,268,-59,327,105,115,197,13,1375,141,87,11,378,295,363,339,37_87_42
113,132,41,6853,268,-51,319,35,164,198,21,1859,193,127,10,521,416,446,496,37_113_79
105,128,34,8734,290,-81,371,194,-13,213,-13,1026,112,62,19,319,203,309,203,39_127_4165
117,129,35,8447,297,-65,362,203,3,222,3,1088,120,71,16,325,232,319,232,39_87_1472
116,129,35,8498,297,-67,364,203,2,222,2,1084,119,71,16,323,230,317,230,39_87_8383
118,129,35,8468,299,-64,363,205,4,224,4,1090,121,72,16,326,233,320,233,39_87_12789
105,128,34,8748,290,-82,372,194,-14,213,-14,1025,111,62,19,317,203,304,203,39_73_12472
109,127,35,8549,289,-73,362,195,-7,215,-7,1074,112,68,15,317,221,316,221,39_167_14073
111,129,35,8601,293,-73,366,198,-5,218,-5,1040,110,64,16,312,209,309,209,39_111_13152
110,123,34,8580,289,-71,360,197,-6,216,-6,1049,110,67,15,310,215,310,215,39_167_14052
105,129,34,8770,290,-82,372,195,-14,213,-14,1022,111,62,19,316,201,303,201,39_73_47
109,127,34,8583,290,-75,365,195,-8,215,-8,1048,111,65,16,315,212,311,212,39_111_4162
117,132,35,8529,299,-68,367,204,2,223,2,1062,117,69,17,316,222,311,222,39_53_8375
119,133,36,8499,301,-67,368,205,4,224,4,1061,118,69,17,315,222,311,222,39_53_5288
115,129,35,8547,297,-69,366,203,0,221,0,1068,116,69,16,317,225,312,225,39_87_4550
116,130,35,8492,297,-68,365,202,1,221,1,1083,120,71,17,323,228,318,228,39_87_1217
116,129,35,8508,298,-67,365,203,2,222,2,1070,116,69,16,318,227,313,227,39_145_4036
119,130,35,8491,300,-64,364,205,4,224,4,1069,117,70,16,318,229,313,229,39_87_2686
119,130,35,8495,300,-64,364,206,128,225,5,1062,115,69,16,316,228,311,228,39_87_266
117,131,35,8500,298,-68,366,203,2,222,2,1074,119,70,17,320,225,315,225,39_53_612
119,130,35,8490,300,-65,365,206,5,225,5,1084,120,71,16,324,232,319,232,39_87_638
118,130,35,8503,299,-67,366,204,3,223,3,1078,119,71,16,321,228,316,228,39_87_595
104,128,34,8719,288,-82,370,193,-14,212,-14,1029,112,63,19,319,204,309,204,39_127_629
117,130,35,8422,297,-66,363,203,4,222,4,1093,123,73,16,325,233,321,233,39_87_192
104,128,35,8552,286,-78,364,191,-11,210,-11,1105,117,70,16,332,226,326,226,39_111_7156
120,130,35,8445,301,-62,363,206,129,225,6,1082,120,71,16,324,233,318,233,39_87_11220
107,129,34,8698,292,-79,371,196,-10,215,-10,1013,110,62,19,311,202,298,202,39_9_8312
106,129,34,8701,291,-80,371,195,-11,214,-11,1017,110,62,19,313,202,302,202,39_73_409
118,130,35,8484,299,-64,363,205,4,224,4,1081,119,71,16,322,232,317,232,39_87_12775
107,129,34,8676,292,-78,370,196,-10,215,-10,1019,111,63,18,312,204,303,204,39_9_11689
115,129,35,8488,295,-69,364,202,1,221,1,1085,119,71,16,323,229,318,229,39_87_15693
122,133,36,8471,304,-63,367,208,8,227,8,1075,121,71,16,322,228,317,228,39_87_12778
119,130,35,8414,300,-62,362,205,6,224,6,1088,122,72,16,325,233,320,233,39_87_12785
110,129,35,8523,291,-73,364,196,-5,216,-5,1070,112,67,15,317,220,315,220,39_167_14071
107,125,34,8573,287,-76,363,193,-10,213,-10,1060,112,66,16,318,215,315,215,39_111_15730
106,129,34,8794,292,-82,374,195,-14,214,-14,1016,111,61,20,315,199,302,199,39_127_2815
109,128,34,8592,291,-75,366,196,-7,216,-7,1056,111,66,16,316,214,312,214,39_111_511
118,129,35,8470,299,-64,363,205,4,224,4,1092,121,72,16,326,234,320,234,39_87_4677
108,130,34,8722,293,-79,372,196,-10,215,-10,1001,109,61,19,308,199,295,199,39_73_3185
104,126,34,8684,286,-80,366,192,-14,211,-14,1027,115,62,20,322,202,314,202,39_127_1162
106,126,34,8600,287,-77,364,193,-10,213,-10,1057,112,66,16,319,213,314,213,39_111_3424
117,130,35,8530,298,-67,365,204,2,223,2,1078,119,71,16,321,228,316,228,39_87_2263
108,127,35,8537,288,-74,362,194,-8,214,-8,1081,113,69,15,320,223,318,223,39_167_3191
120,130,35,8492,302,-63,365,206,129,226,6,1063,116,69,16,317,228,312,228,39_87_8391
119,130,35,8440,300,-64,364,205,128,224,6,1088,121,71,16,326,234,320,234,39_87_8054
103,128,34,8780,289,-84,373,193,-16,212,-16,1028,111,62,20,320,202,308,202,39_127_8297
119,130,35,8448,301,-64,365,205,128,225,6,1072,117,70,16,320,230,314,231,39_87_8394
